0	721.667
10	781.375
20	765.458
30	725.167
40	707.583
50	742.125
60	675.542
70	692.208
80	740.125
90	631.417
100	579.833
110	522.792
120	462.75
130	446.083
140	405.167
150	337.083
160	335.958
170	376.667
180	303.833
190	254.875
200	259.042
210	197.125
220	200.292
230	231.667
240	256.833
250	228.417
260	159.333
270	124.125
280	171.667
290	209.417
300	144.667
310	102
320	128.083
330	127.458
340	117.958
350	139.333
360	106.458
370	100.083
380	120.917
390	107.708
400	128.208
410	102.958
420	145.708
430	157.375
440	152.75
450	116.667
460	165.083
470	135.917
480	145.833
490	108.292
500	122.375
