0,0,0,0,0,0
-4020,49,775,0,-4,-3
-4020,50,767,1,-5,-3
-4026,51,754,3,-8,-3
-4024,51,749,4,-9,-3
-4028,49,760,0,-5,-2
-4025,39,758,2,1,-3
-4020,44,760,0,7,-3
-4020,52,762,-1,8,-3
-4016,50,764,-1,2,-3
-4021,47,773,-2,5,-1
-4019,45,767,-1,8,-3
-4022,40,778,4,8,-2
-4024,44,776,2,9,-2
-4018,45,763,3,7,-3
-4022,47,752,3,6,-3
-4024,49,761,3,7,-2
-4028,40,759,5,4,-5
-4022,41,767,3,3,-4
-4029,47,778,1,3,-3
-4033,48,773,0,0,0
-4030,44,767,2,-1,2
-4032,49,767,1,0,1
-4034,54,777,4,1,-2
-4032,47,768,6,-2,-4
-4026,44,766,6,-1,-1
-4026,44,763,1,3,0
-4022,42,763,1,4,-1
-4022,41,767,0,3,0
-4022,41,776,-1,0,3
-4030,36,772,-1,0,2
-4018,42,764,0,1,-3
-4018,44,768,-3,1,-7
-4021,43,765,1,0,1
-4022,49,778,4,-1,1
-4024,53,778,2,-3,-2
-4031,50,764,1,-5,-4
-4022,43,759,-1,-3,-8
-4018,45,754,-2,-1,-5
-4020,46,751,2,0,-7
-4019,42,757,3,-1,0
-4020,40,751,4,1,-2
-4022,38,752,4,3,-6
-4020,37,749,6,4,-6
-4020,36,758,2,5,-5
-4020,49,762,4,0,-3
-4022,42,761,6,0,-4
-4018,37,768,4,2,-7
-4023,40,777,1,1,-10
-4020,43,778,0,0,-7
-4013,48,767,-1,-4,-5
-4014,50,769,-1,-4,-10
-4021,49,779,-3,-1,-12
-4019,47,780,-3,0,-6
-4018,52,776,1,1,-3
-4023,51,775,0,-1,1
-4028,44,782,-2,-2,1
-4026,41,785,-2,-2,0
-4027,45,779,3,-4,-3
-4026,46,782,3,-2,-3
-4020,38,773,1,-5,-1
-4021,36,767,3,-6,-1
-4021,32,757,3,-3,-5
-4021,36,755,0,-4,-5
-4020,39,758,-3,-6,-5
-4023,38,759,-4,-1,-15
-4018,36,760,0,3,-10
-4024,37,769,2,1,-3
-4021,41,772,0,1,-2
-4021,51,771,1,3,-2
-4029,58,775,3,2,2
-4024,55,771,0,3,2
-4018,60,774,0,4,5
-4023,63,774,0,7,4
-4028,62,771,0,8,2
-4030,59,775,0,4,1
-4025,56,776,0,0,2
-4027,57,771,0,7,0
-4028,49,769,1,9,-4
-4026,45,770,0,5,-6
-4020,43,766,1,2,-5
-4025,42,769,0,1,-5
-4026,32,779,4,-1,-2
-4030,33,778,2,-1,0
-4027,37,772,0,2,0
-4030,47,775,1,2,-3
-4027,43,767,-1,1,-6
-4021,41,759,-1,-1,-6
-4021,46,764,-1,-1,-6
-4023,45,772,-1,-2,-5
-4020,47,774,1,0,-8
-4017,50,773,4,3,-9
-4019,53,768,0,3,-7
-4021,46,766,-2,4,-6
-4020,51,758,-1,0,-7
-4015,49,761,-3,1,-12
-4024,43,768,2,5,-6
-4025,43,775,2,-1,-3
-4023,47,777,2,0,0
-4028,43,763,6,1,1
-4029,46,756,2,1,3
-4026,44,760,1,0,2
-4027,46,766,1,2,-2
-4031,41,772,2,5,-1
-4029,40,775,0,3,3
-4020,41,775,0,3,1
-4014,42,775,1,4,0
-4013,34,777,1,6,-1
-4009,33,774,0,7,0
-4012,43,781,-1,9,0
-4015,40,778,0,8,-1
-4024,38,774,0,6,0
-4029,33,785,0,3,-1
-4030,35,791,-3,0,-3
-4026,44,775,-1,2,-3
-4017,39,764,0,5,-6
-4018,37,768,0,10,-4
-4018,44,763,2,6,0
-4017,45,766,0,2,-3
-4019,44,764,0,0,-1
-4018,38,763,1,2,-5
-4022,40,765,4,3,-6
-4023,42,770,7,0,-4
-4027,45,775,1,-5,-9
-4022,47,783,3,-1,-6
-4030,48,782,1,1,-5
-4029,47,769,0,0,-3
-4029,42,780,1,-1,-1
-4026,38,784,4,-1,0
-4021,34,774,2,-1,0
-4017,36,774,2,-1,-3
-4016,35,782,0,0,-7
-4021,46,787,0,0,-5
-4019,39,776,1,-2,-2
-4023,38,774,3,-4,-1
-4022,33,769,2,1,1
-4028,34,770,2,4,0
-4033,34,765,1,0,0
-4030,28,757,0,1,0
-4024,30,762,-1,3,-1
-4025,37,768,0,2,-4
-4025,44,769,3,1,-6
-4020,49,770,0,2,-6
-4024,51,774,0,2,-7
-4015,46,763,5,1,-7
-4011,43,766,7,0,-5
-4014,48,766,6,1,-1
-4016,45,763,9,3,-1
-4027,45,763,6,7,-2
-4025,46,779,5,5,-5
-4029,40,786,5,0,-6
-4034,37,778,3,-3,-4
-4034,45,767,0,3,0
-4021,49,764,2,1,0
-4015,47,771,0,-1,-5
-4022,43,773,2,4,-3
-4022,39,779,4,5,-3
-4013,39,787,5,0,-1
-4017,42,781,4,2,-5
-4017,43,778,2,2,-5
-4025,38,778,1,0,-4
-4022,40,776,-1,-4,0
-4014,48,768,0,-2,-3
-4019,47,770,0,2,-4
-4019,45,770,-1,4,-1
-4022,40,770,-2,2,3
-4026,36,771,-4,0,-2
-4025,42,773,-4,0,-6
-4028,48,777,-5,-2,-3
-4023,38,775,-1,3,-2
-4015,37,775,-1,2,-6
-4022,36,771,-2,-3,-5
-4028,46,780,0,2,0
-4031,46,775,-1,0,-4
-4027,46,774,-1,0,-5
-4024,40,774,-1,0,-2
-4016,44,753,0,0,-3
-4017,43,756,3,2,0
-4019,42,764,5,5,-3
-4023,38,767,5,2,-3
-4025,39,774,0,1,0
-4030,43,768,0,5,0
-4033,48,772,1,4,0
-4026,52,777,3,8,0
-4027,44,761,1,7,-2
-4028,39,758,0,9,-2
-4022,42,753,4,5,-1
-4024,41,762,4,0,-2
-4016,39,770,0,0,0
-4016,43,768,0,1,1
-4016,43,770,2,1,0
-4012,40,773,0,-2,0
-4015,38,769,0,0,-2
-4012,45,757,1,1,-5
-4013,47,770,-2,2,-6
-4016,44,770,-3,2,-5
-4022,46,762,0,4,-2
-4024,52,757,1,4,-2
-4024,50,758,-1,5,0
-4021,40,766,1,0,-1
-4023,40,768,0,-2,-5
-4021,36,769,-1,1,-2
-4017,30,767,2,2,0
-4015,28,779,1,1,-5
-4015,35,773,0,-2,-3
-4025,42,773,0,-5,-3
-4020,47,770,3,2,-3
-4017,43,763,4,3,-3
-4018,40,755,0,-1,-4
-4022,38,764,-4,3,-5
-4015,38,776,0,4,-6
-4020,41,783,0,3,-5
-4024,36,780,-2,3,0
-4027,35,777,0,3,-3
-4020,40,759,1,2,-1
-4018,41,758,2,0,-6
-4027,43,761,2,1,-4
-4022,45,758,1,1,-1
-4020,45,760,0,3,-5
-4021,40,764,0,6,-4
-4025,41,773,1,0,-6
-4022,39,765,2,-5,-5
-4020,50,764,2,0,0
-4023,49,757,3,0,-1
-4018,44,749,2,-1,-8
-4018,49,753,0,-3,-9
-4020,51,760,2,-2,-2
-4020,45,755,1,1,-2
-4025,45,762,2,5,-3
-4027,50,766,2,5,1
-4029,49,769,0,1,4
-4026,46,775,3,-2,2
-4024,49,774,1,1,2
-4028,52,755,-2,0,5
-4027,47,762,-3,4,4
-4027,38,771,0,1,3
-4028,37,769,2,2,7
-4031,35,774,4,1,3
-4023,33,762,2,-2,0
-4016,33,764,1,0,0
-4025,37,768,5,-2,5
-4029,41,782,7,0,0
-4030,42,769,7,-1,1
-4023,44,765,3,3,1
-4026,49,766,3,4,2
-4033,51,764,4,0,4
-4029,53,757,3,1,3
-4027,50,761,-1,0,1
-4028,50,762,1,1,1
-4020,48,764,5,4,3
-4018,50,764,5,7,0
-4022,52,761,3,6,2
-4022,53,767,2,5,4
-4018,47,754,2,7,5
-4011,52,763,2,5,4
-4011,50,766,0,2,2
-4021,53,766,1,0,-3
-4026,48,760,0,0,0
-4025,43,757,2,1,3
-4025,43,765,0,-1,4
-4024,45,770,0,0,-1
-4028,41,769,1,1,0
-4027,42,770,1,4,-4
-4025,35,769,2,1,-4
-4021,39,772,0,3,-3
-4022,43,761,0,2,2
-4026,52,759,1,-1,5
-4019,47,765,-1,-2,3
-4020,45,770,0,1,-1
-4016,48,778,4,0,-3
-4017,48,773,2,-3,-6
-4019,42,771,1,-4,-9
-4025,40,772,0,-4,0
-4022,44,772,-4,1,0
-4024,39,765,-1,0,-4
-4023,42,766,-3,-3,-5
-4019,38,766,0,1,-6
-4022,38,774,0,0,-10
-4016,38,765,5,1,-9
-4015,37,761,2,1,-8
-4014,36,767,3,4,-4
-4014,35,778,2,0,-4
-4006,41,781,4,0,2
-4013,44,781,1,3,-2
-4017,39,776,0,1,0
-4020,42,771,-1,2,-1
-4023,47,782,-1,4,-1
-4021,47,783,-1,4,0
-4020,50,776,1,1,2
-4019,46,767,3,1,-3
-4018,47,771,8,0,-6
-4021,50,768,5,-3,-5
-4018,54,760,3,0,-10
-4024,51,751,3,5,-7
-4023,46,757,4,2,0
-4023,45,772,2,0,-5
-4020,49,782,3,1,-5
-4020,45,782,2,-2,-2
-4017,45,774,4,-1,-6
-4019,40,771,4,0,-4
-4014,38,779,4,-1,-2
-4013,48,777,3,0,2
-4019,48,760,0,2,2
-4013,44,759,2,1,-1
-4023,40,770,1,1,-8
-4018,39,769,-1,2,-8
-4014,43,766,1,3,-12
-4016,48,771,0,4,-8
-4017,45,770,-3,2,-8
-4014,48,756,1,0,-3
-4012,48,752,1,0,-2
-4010,48,760,0,1,-2
-4011,48,770,1,2,-3
-4012,44,770,3,3,0
-4016,42,763,0,2,-3
-4019,38,754,1,4,-1
-4020,46,763,4,5,0
-4024,43,762,3,3,-4
-4026,45,752,3,2,-4
