0	4180.93
10	4119.8
20	4095.35
30	5244.5
40	4865.53
50	5000
60	16075.8
70	13643
80	14339.9
90	15672.4
100	16418.1
110	17090.5
120	14682.2
130	13080.7
140	15831.3
150	13569.7
160	13178.5
170	14657.7
180	14645.5
190	13435.2
200	15183.4
210	14486.6
220	13300.7
230	13557.5
240	12542.8
250	14975.5
260	13533
270	13814.2
280	13361.9
290	13814.2
300	13435.2
310	14963.3
320	12469.4
330	12445
340	13166.3
350	14596.6
360	12518.3
370	12078.2
380	14107.6
390	13667.5
400	12493.9
410	14168.7
420	12396.1
430	12872.9
440	13985.3
450	12322.7
460	12445
470	14168.7
480	12298.3
490	13288.5
500	15256.7
