X (ms);C0:_to.Axis_2.positioningState.actualPosition
0,000000;1415,074000
3,000000;1415,074000
6,000000;1415,074000
9,000000;1415,074000
12,000000;1415,075000
15,000000;1415,074000
18,000000;1415,074000
21,000000;1415,074000
24,000000;1415,074000
27,000000;1415,074000
30,000000;1415,074000
33,000000;1415,074000
36,000000;1415,074000
39,000000;1415,075000
42,000000;1415,075000
45,000000;1415,074000
48,000000;1415,074000
51,000000;1415,074000
54,000000;1415,074000
57,000000;1415,074000
60,000000;1415,074000
63,000000;1415,074000
66,000000;1415,074000
69,000000;1415,074000
72,000000;1415,074000
75,000000;1415,074000
78,000000;1415,074000
81,000000;1415,074000
84,000000;1415,075000
87,000000;1415,074000
90,000000;1415,074000
93,000000;1415,074000
96,000000;1415,074000
99,000000;1415,074000
102,000000;1415,074000
105,000000;1415,075000
108,000000;1415,075000
111,000000;1415,074000
114,000000;1415,074000
117,000000;1415,074000
120,000000;1415,074000
123,000000;1415,074000
126,000000;1415,074000
129,000000;1415,074000
132,000000;1415,074000
135,000000;1415,074000
138,000000;1415,074000
141,000000;1415,074000
144,000000;1415,074000
147,000000;1415,075000
150,000000;1415,074000
153,000000;1415,074000
156,000000;1415,074000
159,000000;1415,074000
162,000000;1415,074000
165,000000;1415,074000
168,000000;1415,074000
171,000000;1415,074000
174,000000;1415,074000
177,000000;1415,074000
180,000000;1415,074000
183,000000;1415,074000
186,000000;1415,074000
189,000000;1415,074000
192,000000;1415,074000
195,000000;1415,074000
198,000000;1415,074000
201,000000;1415,074000
204,000000;1415,074000
207,000000;1415,074000
210,000000;1415,075000
213,000000;1415,074000
216,000000;1415,074000
219,000000;1415,074000
222,000000;1415,074000
225,000000;1415,074000
228,000000;1415,074000
231,000000;1415,074000
234,000000;1415,075000
237,000000;1415,074000
240,000000;1415,074000
243,000000;1415,075000
246,000000;1415,075000
249,000000;1415,074000
252,000000;1415,074000
255,000000;1415,074000
258,000000;1415,074000
261,000000;1415,074000
264,000000;1415,074000
267,000000;1415,074000
270,000000;1415,075000
273,000000;1415,074000
276,000000;1415,074000
279,000000;1415,074000
282,000000;1415,074000
285,000000;1415,074000
288,000000;1415,074000
291,000000;1415,074000
294,000000;1415,074000
297,000000;1415,074000
300,000000;1415,074000
303,000000;1415,074000
306,000000;1415,074000
309,000000;1415,074000
312,000000;1415,074000
315,000000;1415,074000
318,000000;1415,074000
321,000000;1415,075000
324,000000;1415,074000
327,000000;1415,074000
330,000000;1415,074000
333,000000;1415,074000
336,000000;1415,074000
339,000000;1415,074000
342,000000;1415,074000
345,000000;1415,074000
348,000000;1415,074000
351,000000;1415,074000
354,000000;1415,074000
357,000000;1415,074000
360,000000;1415,074000
363,000000;1415,074000
366,000000;1415,074000
369,000000;1415,074000
372,000000;1415,074000
375,000000;1415,074000
378,000000;1415,074000
381,000000;1415,074000
384,000000;1415,074000
387,000000;1415,074000
390,000000;1415,074000
393,000000;1415,074000
396,000000;1415,074000
399,000000;1415,075000
402,000000;1415,074000
405,000000;1415,074000
408,000000;1415,075000
411,000000;1415,074000
414,000000;1415,074000
417,000000;1415,074000
420,000000;1415,074000
423,000000;1415,074000
426,000000;1415,075000
429,000000;1415,074000
432,000000;1415,074000
435,000000;1415,074000
438,000000;1415,074000
441,000000;1415,074000
444,000000;1415,075000
447,000000;1415,075000
450,000000;1415,074000
453,000000;1415,074000
456,000000;1415,075000
459,000000;1415,074000
462,000000;1415,074000
465,000000;1415,074000
468,000000;1415,074000
471,000000;1415,074000
474,000000;1415,075000
477,000000;1415,075000
480,000000;1415,074000
483,000000;1415,074000
486,000000;1415,074000
489,000000;1415,074000
492,000000;1415,074000
495,000000;1415,074000
498,000000;1415,074000
501,000000;1415,074000
504,000000;1415,074000
507,000000;1415,074000
