X (ms);C0:_to.Axis_2.positioningState.actualPosition
0,000000;1428,608000
3,000000;1428,608000
6,000000;1428,608000
9,000000;1428,608000
12,000000;1428,608000
15,000000;1428,608000
18,000000;1428,608000
21,000000;1428,608000
24,000000;1428,608000
27,000000;1428,608000
30,000000;1428,608000
33,000000;1428,608000
36,000000;1428,608000
39,000000;1428,608000
42,000000;1428,608000
45,000000;1428,608000
48,000000;1428,608000
51,000000;1428,608000
54,000000;1428,608000
57,000000;1428,608000
60,000000;1428,608000
63,000000;1428,608000
66,000000;1428,608000
69,000000;1428,608000
72,000000;1428,608000
75,000000;1428,608000
78,000000;1428,608000
81,000000;1428,608000
84,000000;1428,608000
87,000000;1428,608000
90,000000;1428,608000
93,000000;1428,608000
96,000000;1428,608000
99,000000;1428,608000
102,000000;1428,608000
105,000000;1428,608000
108,000000;1428,608000
111,000000;1428,608000
114,000000;1428,608000
117,000000;1428,608000
120,000000;1428,608000
123,000000;1428,608000
126,000000;1428,608000
129,000000;1428,608000
132,000000;1428,608000
135,000000;1428,608000
138,000000;1428,608000
141,000000;1428,608000
144,000000;1428,608000
147,000000;1428,608000
150,000000;1428,608000
153,000000;1428,608000
156,000000;1428,608000
159,000000;1428,608000
162,000000;1428,608000
165,000000;1428,608000
168,000000;1428,608000
171,000000;1428,608000
174,000000;1428,608000
177,000000;1428,608000
180,000000;1428,608000
183,000000;1428,608000
186,000000;1428,608000
189,000000;1428,608000
192,000000;1428,608000
195,000000;1428,608000
198,000000;1428,608000
201,000000;1428,608000
204,000000;1428,608000
207,000000;1428,608000
210,000000;1428,608000
213,000000;1428,608000
216,000000;1428,608000
219,000000;1428,608000
222,000000;1428,608000
225,000000;1428,608000
228,000000;1428,608000
231,000000;1428,608000
234,000000;1428,608000
237,000000;1428,608000
240,000000;1428,608000
243,000000;1428,608000
246,000000;1428,608000
249,000000;1428,608000
252,000000;1428,608000
255,000000;1428,608000
258,000000;1428,608000
261,000000;1428,608000
264,000000;1428,608000
267,000000;1428,608000
270,000000;1428,608000
273,000000;1428,608000
276,000000;1428,608000
279,000000;1428,608000
282,000000;1428,608000
285,000000;1428,608000
288,000000;1428,608000
291,000000;1428,608000
294,000000;1428,608000
297,000000;1428,608000
300,000000;1428,608000
303,000000;1428,608000
306,000000;1428,608000
309,000000;1428,608000
312,000000;1428,608000
315,000000;1428,608000
318,000000;1428,608000
321,000000;1428,608000
324,000000;1428,608000
327,000000;1428,608000
330,000000;1428,608000
333,000000;1428,608000
336,000000;1428,608000
339,000000;1428,608000
342,000000;1428,608000
345,000000;1428,608000
348,000000;1428,608000
351,000000;1428,608000
354,000000;1428,608000
357,000000;1428,608000
360,000000;1428,608000
363,000000;1428,608000
366,000000;1428,608000
369,000000;1428,608000
372,000000;1428,608000
375,000000;1428,608000
378,000000;1428,608000
381,000000;1428,608000
384,000000;1428,608000
387,000000;1428,608000
390,000000;1428,608000
393,000000;1428,608000
396,000000;1428,608000
399,000000;1428,608000
402,000000;1428,608000
405,000000;1428,608000
408,000000;1428,608000
411,000000;1428,608000
414,000000;1428,608000
417,000000;1428,608000
420,000000;1428,608000
423,000000;1428,608000
426,000000;1428,608000
429,000000;1428,608000
432,000000;1428,608000
435,000000;1428,608000
438,000000;1428,608000
441,000000;1428,608000
444,000000;1428,608000
447,000000;1428,608000
450,000000;1428,608000
453,000000;1428,608000
456,000000;1428,608000
