0	4853.3
10	3508.56
20	3826.41
30	5110.02
40	4290.95
50	5794.62
60	14523.2
70	13594.1
80	12885.1
90	12041.6
100	10684.6
110	11210.3
120	9804.4
130	9352.08
140	10990.2
150	10220
160	9853.3
170	10586.8
180	10868
190	10916.9
200	9645.48
210	9339.85
220	9156.48
230	11026.9
240	9889.98
250	8753.06
260	8655.26
270	9022
280	8606.36
290	8838.63
300	8826.41
310	9498.78
320	9559.9
330	10134.5
340	10293.4
350	10354.5
360	10207.8
370	9083.13
380	9254.28
390	9462.1
400	9889.98
410	10880.2
420	9229.83
430	8606.36
440	8814.18
450	9132.03
460	9731.05
470	10831.3
480	8374.08
490	8838.63
500	9828.85
