#Speed
0.000000,0
192.500000,812
220.000000,1114
245.000000,1289
265.000000,1424
285.000000,1540
302.500000,1645
320.000000,1738
337.500000,1816
352.500000,1887
367.500000,1949
382.500000,2012
397.500000,2061
412.500000,2100
425.000000,2133
440.000000,2162
452.500000,2185
467.500000,2207
480.000000,2224
492.500000,2242
507.500000,2257
520.000000,2274
532.500000,2286
545.000000,2300
560.000000,2310
572.500000,2323
585.000000,2332
597.500000,2343
610.000000,2350
622.500000,2361
635.000000,2368
647.500000,2378
660.000000,2383
672.500000,2393
685.000000,2399
697.500000,2406
710.000000,2410
722.500000,2417
735.000000,2420
747.500000,2426
760.000000,2429
772.500000,2434
785.000000,2436
797.500000,2442
810.000000,2443
822.500000,2448
835.000000,2450
847.500000,2454
860.000000,2455
870.000000,2459
882.500000,2460
895.000000,2464
907.500000,2465
920.000000,2468
932.500000,2469
945.000000,2471
955.000000,2473
967.500000,2476
980.000000,2476
992.500000,2479
1005.000000,2479
1017.500000,2480
1027.500000,2480
1040.000000,2482
1052.500000,2482
1065.000000,2484
1077.500000,2483
1090.000000,2485
1100.000000,2485
1112.500000,2487
1125.000000,2487
1137.500000,2490
1150.000000,2490
1162.500000,2493
1172.500000,2493
1185.000000,2495
1197.500000,2494
1210.000000,2495
1222.500000,2495
1232.500000,2496
1245.000000,2495
1257.500000,2496
1270.000000,2495
1282.500000,2496
1292.500000,2495
1305.000000,2497
1317.500000,2495
1330.000000,2497
1342.500000,2496
1355.000000,2498
1365.000000,2496
1377.500000,2499
1390.000000,2497
1402.500000,2499
1415.000000,2497
1425.000000,2499
1437.500000,2498
1450.000000,2500
1462.500000,2498
1475.000000,2500
1485.000000,2500
1497.500000,2501
1510.000000,2500
1522.500000,2501
1535.000000,2500
1545.000000,2502
1557.500000,2501
1570.000000,2502
1582.500000,2500
1595.000000,2502
1605.000000,2501
1617.500000,2503
1630.000000,2501
1642.500000,2503
1655.000000,2502
1665.000000,2503
1677.500000,2501
1690.000000,2503
1702.500000,2503
1715.000000,2505
1725.000000,2505
1737.500000,2505
1750.000000,2505
1762.500000,2505
1772.500000,2505
1785.000000,2505
1797.500000,2505
1810.000000,2506
1822.500000,2505
1832.500000,2507
1845.000000,2505
1857.500000,2506
1870.000000,2505
1882.500000,2507
1892.500000,2505
1905.000000,2507
1917.500000,2505
1930.000000,2507
1942.500000,2505
1952.500000,2506
1965.000000,2505
1977.500000,2506
1990.000000,2505
2000.000000,2507
2012.500000,2505
2025.000000,2507
2037.500000,2505
2050.000000,2506
2060.000000,2505
2072.500000,2506
2085.000000,2505
2097.500000,2506
2110.000000,2505
2120.000000,2507
2132.500000,2506
2145.000000,2508
2157.500000,2507
2167.500000,2509
2180.000000,2507
2192.500000,2508
2205.000000,2506
2217.500000,2508
2227.500000,2507
2240.000000,2509
2252.500000,2508
2265.000000,2509
2277.500000,2507
2287.500000,2509
2300.000000,2508
2312.500000,2509
2325.000000,2507
2335.000000,2509
2347.500000,2507
2360.000000,2507
2372.500000,2505
2385.000000,2506
2395.000000,2505
2407.500000,2506
2420.000000,2505
2432.500000,2507
2445.000000,2505
2455.000000,2507
2467.500000,2506
2480.000000,2508
2492.500000,2506
2505.000000,2507
2515.000000,2566
2525.000000,2821
2535.000000,3031
2545.000000,3198
2555.000000,3330
2562.500000,3440
2572.500000,3531
2580.000000,3607
2587.500000,3671
2595.000000,3727
2605.000000,3774
2612.500000,3818
2620.000000,3854
2627.500000,3886
2635.000000,3910
2642.500000,3937
2650.000000,3955
2657.500000,3976
2665.000000,3987
2672.500000,4004
2680.000000,4014
2687.500000,4030
2695.000000,4036
2702.500000,4049
2710.000000,4051
2717.500000,4065
2725.000000,4067
2732.500000,4076
2740.000000,4076
2747.500000,4084
2755.000000,4082
2762.500000,4091
2770.000000,4089
2777.500000,4100
2782.500000,4096
2790.000000,4105
2797.500000,4098
2805.000000,4107
2812.500000,4102
2820.000000,4109
2827.500000,4102
2835.000000,4109
2842.500000,4105
2850.000000,4111
2857.500000,4107
2865.000000,4114
2872.500000,4109
2877.500000,4116
2885.000000,4111
2892.500000,4116
2900.000000,4109
2907.500000,4116
2915.000000,4111
2922.500000,4118
2930.000000,4111
2937.500000,4118
2945.000000,4111
2952.500000,4118
2960.000000,4111
2965.000000,4120
2972.500000,4114
2980.000000,4120
2987.500000,4114
2995.000000,4120
3002.500000,4114
3010.000000,4120
3017.500000,4114
3025.000000,4123
3032.500000,4114
3040.000000,4120
3047.500000,4114
3052.500000,4118
3060.000000,4114
3067.500000,4120
3075.000000,4111
3082.500000,4118
3090.000000,4111
3097.500000,4118
3105.000000,4111
3112.500000,4118
3120.000000,4111
3127.500000,4118
3135.000000,4114
3140.000000,4120
3147.500000,4111
3155.000000,4118
3162.500000,4111
3170.000000,4120
3177.500000,4114
3185.000000,4120
3192.500000,4116
3200.000000,4123
3207.500000,4114
3215.000000,4123
3222.500000,4116
3227.500000,4120
3235.000000,4114
3242.500000,4120
3250.000000,4116
3257.500000,4123
3265.000000,4116
3272.500000,4123
3280.000000,4114
3287.500000,4120
3295.000000,4114
3302.500000,4120
3307.500000,4116
3315.000000,4120
3322.500000,4116
3330.000000,4123
3337.500000,4116
3345.000000,4120
3352.500000,4114
3360.000000,4120
3367.500000,4114
3375.000000,4120
3382.500000,4114
3390.000000,4120
3395.000000,4114
3402.500000,4120
3410.000000,4114
3417.500000,4120
3425.000000,4114
3432.500000,4120
3440.000000,4114
3447.500000,4120
3455.000000,4114
3462.500000,4118
3470.000000,4114
3477.500000,4118
3482.500000,4114
